run_id,run_type,route,accepted_base,candidate,command_count,warmup_count,profiling,control_throughput,candidate_throughput,canonical_comparable,decision,code_status,evidence
E65-JFR,smoke,minimal-body-full-result-route,P2,E65-minimal-result-body,131072,32768,jfr,176038,182645,false,diagnostic-fixed-route-dominates,reverted,model-e2e-throughput-campaign.md
E66-MICRO,smoke,result-envelope-zstd-micro,P2,zstd-level-minus1,0,500,none,3359.9,4354.4,false,diagnostic-screened-in,diagnostic-only,model-e2e-throughput-campaign.md
E66-JFR,profile,canonical-full-result,P2,zstd-level-minus1,131072,32768,jfr,196767,215089,false,rejected-by-confirmation,reverted,model-e2e-throughput-campaign.md
E66-P1,canonical,canonical-full-result,P2,zstd-level-minus1,1048576,65536,none,260933,295221,true,rejected-below-threshold,reverted,model-e2e-throughput-campaign.md
E66-P2,canonical,canonical-full-result,P2,zstd-level-minus1,1048576,65536,none,319150,312611,true,rejected-below-threshold,reverted,model-e2e-throughput-campaign.md
E66-P3,canonical,canonical-full-result,P2,zstd-level-minus1,1048576,65536,none,302927,292239,true,rejected-below-threshold,reverted,model-e2e-throughput-campaign.md
E66-P4,canonical,canonical-full-result,P2,zstd-level-minus1,1048576,65536,none,250133,273612,true,rejected-below-threshold,reverted,model-e2e-throughput-campaign.md
E67-CPU,profile,result-free-model-commit,P2,accepted-source-cpu-attribution,1048576,65536,async-profiler-cpu,,373615,false,diagnostic-global-cache-lock,diagnostic-only,model-e2e-throughput-campaign.md
E67-LOCK,profile,result-free-model-commit,P2,accepted-source-lock-attribution,1048576,65536,async-profiler-lock,,107185,false,diagnostic-global-cache-lock,diagnostic-only,model-e2e-throughput-campaign.md
E68-P1,smoke,result-free-model-commit,P2,segmented-exact-lru,1048576,65536,none,361559,367338,false,rejected-neutral,reverted,model-e2e-throughput-campaign.md
E68-LOCK,profile,result-free-model-commit,P2,segmented-exact-lru,1048576,65536,async-profiler-lock,107185,406628,false,diagnostic-observer-effect,reverted,model-e2e-throughput-campaign.md
E68-P2,smoke,result-free-model-commit,P2,segmented-exact-lru,1048576,65536,none,398680,379961,false,rejected-neutral,reverted,model-e2e-throughput-campaign.md
E69-ALLOC,profile,result-free-model-commit,P2,accepted-source-allocation-attribution,1048576,65536,async-profiler-allocation,,399449,false,diagnostic-no-candidate-selection,diagnostic-only,model-e2e-throughput-campaign.md
E70-TRACE,smoke,canonical-full-result,P2,route-trace-request-correlation,131072,32768,jfr,,187495,false,diagnostic-correlation-incomplete,diagnostic-only,/private/tmp/model-e2e-e70-trace-smoke.log#23869b0b3ecb37273689d9e36b30e66b9ae1e0eb9eacf681bef8b7ce247bf157;/private/tmp/model-e2e-e70-trace-smoke.jfr#281d9b5be64499594afe61200539c8ff86d907eae040bb702ea7429131e0c354;/private/tmp/model-e2e-e70-trace-smoke-summary.txt#5d6da4754d7a220a76335d5631896e7014160c512459bb16b57fe13b3c0586ec
E70-INDEX,smoke,canonical-full-result,P2,route-trace-index-correlation,131072,32768,jfr,,177407,false,diagnostic-correlation-incomplete,diagnostic-only,/private/tmp/model-e2e-e70-index-trace-smoke.log#ccd63f5de28ae5ba1a5dc88f08cef91323ec59454977978f89b75d8be30a95fa;/private/tmp/model-e2e-e70-index-trace-smoke.jfr#054dd812260c105a8ef0cd1afe4aeaeb806de3c84f1a21b0f1a26cc6eafcec72;/private/tmp/model-e2e-e70-index-trace-smoke-summary.txt#5efae47f022be92e34f1765b7cdbfc038101512076cb021c575f95ef7c21f401
E70-TRACEID,smoke,canonical-full-result,P2,route-trace-metadata-correlation,131072,32768,jfr,,184810,false,diagnostic-correlation-incomplete,diagnostic-only,/private/tmp/model-e2e-e70-traceid-smoke.log#46c40839fffca872b901a1de67ff903773e010b6bc0e17d1da35fb416b4fdba7;/private/tmp/model-e2e-e70-traceid-smoke.jfr#c064b232058605bb15fafde016d084184adab473dc1811d1b944a38bbddf2dd0;/private/tmp/model-e2e-e70-traceid-smoke-summary.txt#1fa76dfbcbe4a720145fb903a5a6ca54045ba74a13accf53e43c3b569c0e31bd
E70-CORRELATED,smoke,canonical-full-result,P2,bounded-native-route-correlation,131072,32768,jfr,,177064,false,diagnostic-one-transport-sample-missing,diagnostic-only,/private/tmp/model-e2e-e70-correlated-smoke.log#db67514d534d9ffc222d12c0e0dbaf5976d49b1b3653915521fff720e67285ef;/private/tmp/model-e2e-e70-correlated-smoke.jfr#f82da123ead837b53f1deac7e20e9ac2ffe978d31dfb50ca275a109f685c3377;/private/tmp/model-e2e-e70-correlated-smoke-summary.txt#e6469d17b302c92b2b440a78fdfdedd556c4e8b9b7608c82cfe66e2799b7a56d
E70-COMPLETE,smoke,canonical-full-result,P2,complete-cross-jvm-route-trace,131072,32768,jfr,,190016,false,diagnostic-observer-allocation-found,diagnostic-only,/private/tmp/model-e2e-e70-complete-smoke.log#b75e09d3b790a991be6557520d67be64b488b74fce3290c05019044504f0255e;/private/tmp/model-e2e-e70-complete-smoke.jfr#c3b097e692b9fdd74f2bae8343f8c75882b07f329ab596163c06e259993f43dd;/private/tmp/model-e2e-e70-complete-smoke-summary.txt#e0e7633db0cc9ae66dd4c8e208579217c0b084c6a9e72bbd42d2dfd60e4ee76f
E70-LOW-OVERHEAD,smoke,canonical-full-result,P2,low-overhead-complete-route-trace,131072,32768,jfr,,190721,false,diagnostic-tracing-ready-for-profile,diagnostic-only,/private/tmp/model-e2e-e70-low-overhead-smoke-20260802-0038.log#e039c8953cdf47da106ed2c980f8865aaacc3cb3d378345408e83b72a8020b8d;/private/tmp/model-e2e-e70-low-overhead-smoke-20260802-0038.jfr#c80c9bb0dadbc76174205e45a085aaa6b50dcdea74c93a26867912de1e58e6bd;/private/tmp/model-e2e-e70-low-overhead-smoke-20260802-0038-summary.txt#95c1c9dd47b63f0e98922b75909f352c66a59c771dc46c2d1451874b5151fd61
E70-CORRECTED,smoke,canonical-full-result,P2,corrected-complete-route-trace,131072,32768,jfr,,170765,false,diagnostic-route-table-complete,diagnostic-only,/private/tmp/model-e2e-e70-corrected-smoke-20260802-0043.log#8e582536b26fb26343437dc6b0327ad0ae9590a05510b45ed1a47a7951566a86;/private/tmp/model-e2e-e70-corrected-smoke-20260802-0043.jfr#b47bac4dc6d834e90c3feba00468e1c1470152e9127d9f56cd71ac1258e6c23f;/private/tmp/model-e2e-e70-corrected-smoke-20260802-0043-summary-v3.txt#0907c463324074111851546f51eb4a398652c513902a06b4c4a11e847d3abecf
E71-SMOKE,smoke,canonical-full-result,P2,atomic-route-segmentation,131072,32768,jfr,,127475,false,diagnostic-atomic-correlation-complete,diagnostic-only,/private/tmp/model-e2e-e71-segmented-smoke-20260802-0124.log#2a583febabeced3f94aff606b861cfc059d2a380cd0688b58e966552ca560159;/private/tmp/model-e2e-e71-segmented-smoke-20260802-0124.jfr#b62060a450b3ed7388d8ce18a606dbb36ce26c2c3d81dc49a9da229647989bb7;/private/tmp/model-e2e-e71-segmented-smoke-20260802-0124-summary.txt#0617235e10b3db27742895f3e1aec4ae84aa7cc58e614ce8a59d50a78c343d15
E71-PROFILE,profile,canonical-full-result,P2,atomic-route-segmentation,1048576,65536,jfr,,247536,false,diagnostic-atomic-route-table-stable,diagnostic-only,/private/tmp/model-e2e-e71-segmented-profile-20260802-0125.log#2ff88c5b70e588eacb67b04ec4a4a8b96d2bce3bdbccb21c27744c0c9dac6fa1;/private/tmp/model-e2e-e71-segmented-profile-20260802-0125.jfr#3a6139446b82a1b8cee320cae68e2d0e205b4b579e3fead610eae078fecf3e3b;/private/tmp/model-e2e-e71-segmented-profile-20260802-0125-summary-v2.txt#8c526b87514e2a7ca488478ca7a86b10ef1e600e0ebe752ed0446a1954009656
E72-SMOKE,smoke,canonical-full-result,P2,low-allocation-atomic-route-observer,131072,32768,jfr,,184154,false,diagnostic-observer-allocation-removed,diagnostic-only,/private/tmp/model-e2e-e72-low-allocation-smoke-20260802-0136.log#26de6fccd6446cd4213c0faee2ba71fb466db0df3a9cb885766f9b21a836f56b;/private/tmp/model-e2e-e72-low-allocation-smoke-20260802-0136.jfr#242596aaaf319e3a52ab5297d6939937f5626a2a9dcb1f1ef453243481db5d8f;/private/tmp/model-e2e-e72-low-allocation-smoke-20260802-0136-summary-v2.txt#4fb75d5ec951590cad895be8298c77e9ff75674b78173cbf1badd2bce0beaa74
E73-PROFILE,profile,canonical-full-result,P2,command-tracking-demand-and-scan-split,1048576,65536,jfr,,263353,false,diagnostic-c06-is-demand-residence-not-scan-service,diagnostic-only,/private/tmp/model-e2e-e73-c06-split-profile-20260802-0202.log#575dc911850168afc03c04301bd0f8bfd117903864a473ddab6694867c486ecf;/private/tmp/model-e2e-e73-c06-split-profile-20260802-0202.jfr#ff1701f38150aaeb1726456a68f369a4dc5b74aa8c0d223af70056e8cff07e3a;/private/tmp/model-e2e-e73-c06-split-profile-20260802-0202-summary.txt#85229f5b46472014fdb7b01a9b27f754bc2ff9a2998a8c756cad1cf68b51628a
E74-PROFILE,profile,canonical-full-result,P2,forced-direct-message-log-tails,1048576,65536,jfr,263353,269039,false,diagnostic-model-event-stage-cost-removed-with-small-e2e-signal,diagnostic-only,/private/tmp/model-e2e-e74-direct-tail-profile-20260802-0211.log#11f9352cd027ff535d6f69dd1070848c11852d3f1f4b15e4cfdd82a2a6f04ea2;/private/tmp/model-e2e-e74-direct-tail-profile-20260802-0211.jfr#b187a8710512a84cd58291dc4bed71f43949cf7a0461688a413064d61f2522d0;/private/tmp/model-e2e-e74-direct-tail-profile-20260802-0211-summary.txt#71d02f9308eb37d592099dfb1a3daa226a656b5dd929551b7236ce0a34f34a72
E75-PROFILE,profile,canonical-full-result,P2,large-co-located-direct-tail,1048576,65536,jfr,263353,270497,false,diagnostic-targeted-stage-removal-confirmed-awaiting-canonical,diagnostic-only,/private/tmp/model-e2e-e75-large-colocated-tail-profile-20260802-0213.log#66916aaeb549768370361259887a2634b96ba05583ccf2009afd199ae2f8fd31;/private/tmp/model-e2e-e75-large-colocated-tail-profile-20260802-0213.jfr#c6a58ff6836981f927e734e4247fdcfc9cce48ab0f97dac1dc50449ebcdf0013;/private/tmp/model-e2e-e75-large-colocated-tail-profile-20260802-0213-summary.txt#b8908ec82d88e715522de872ef77f8d2aee27c9da2de5139938e36c887085a12
E76-A1,canonical,canonical-full-result,P2,large-co-located-direct-tail-control-disabled,1048576,65536,none,331160,,true,screening-control,diagnostic-only,/private/tmp/model-e2e-e76-a1-20260802-0214.log#e187db2ff263009e494cb98c98ddffaec5b37c4b54dcb21d0910b38e0e5f0e46
E76-B1,canonical,canonical-full-result,P2,large-co-located-direct-tail,1048576,65536,none,,341617,true,accepted-checkpoint,accepted,/private/tmp/model-e2e-e76-b1-20260802-0214.log#16b12eace3416131672b4b7e50fc98eb4c3d689ff3d578548238c4631ebefe12
E76-B2,canonical,canonical-full-result,P2,large-co-located-direct-tail,1048576,65536,none,,342827,true,accepted-checkpoint,accepted,/private/tmp/model-e2e-e76-b2-20260802-0214.log#e1b841cb1d3717b1ccd98a3260521478144e232ea88ca9b6c7043b18724b823c
E76-A2,canonical,canonical-full-result,P2,large-co-located-direct-tail-control-disabled,1048576,65536,none,329324,,true,screening-control,diagnostic-only,/private/tmp/model-e2e-e76-a2-20260802-0214.log#68003bb3db7f0931ae7d6a216878fccde8b000ae82adc32c5c49114001b08b3a
E76-B3,canonical,canonical-full-result,P2,large-co-located-direct-tail,1048576,65536,none,,351210,true,accepted-checkpoint,accepted,/private/tmp/model-e2e-e76-b3-20260802-0214.log#d0f09419eb64455b86e43cb7a6259a62172fcceb9afaa858f56f232118ee42a7
E76-A3,canonical,canonical-full-result,P2,large-co-located-direct-tail-control-disabled,1048576,65536,none,320204,,true,screening-control,diagnostic-only,/private/tmp/model-e2e-e76-a3-20260802-0214.log#37fbd1b0ba5e4d929839535cbd9badd0d16f30ce1cfd58721a922985a6e7abab
E76-A4,canonical,canonical-full-result,P2,large-co-located-direct-tail-control-disabled,1048576,65536,none,333778,,true,screening-control,diagnostic-only,/private/tmp/model-e2e-e76-a4-20260802-0214.log#00eca406a78723108ef80870e92a69e73f5883dc090adca3e169c22fcf552a73
E76-B4,canonical,canonical-full-result,P2,large-co-located-direct-tail,1048576,65536,none,,344431,true,accepted-checkpoint,accepted,/private/tmp/model-e2e-e76-b4-20260802-0214.log#aa613a48dc209a35df358e9d2647d6c7cb472d397789ae19492f615665a80b30
E77-B5,canonical,canonical-full-result,P2,large-co-located-direct-tail,1048576,65536,none,,332432,true,accepted-checkpoint,accepted,/private/tmp/model-e2e-e77-b5-20260802-0220.log#248ad978927b951113b6a1707cfafd41a3cf3d9276f5d657e108c6fb604eaa00
E77-A5,canonical,canonical-full-result,P2,large-co-located-direct-tail-control-disabled,1048576,65536,none,331695,,true,confirmation-control,diagnostic-only,/private/tmp/model-e2e-e77-a5-20260802-0220.log#fcee9879dfe807cd6cc3ed8f29479ef9a1b4491f2b6b67d31c17e9c4363b6276
E77-A6,canonical,canonical-full-result,P2,large-co-located-direct-tail-control-disabled,1048576,65536,none,326532,,true,confirmation-control,diagnostic-only,/private/tmp/model-e2e-e77-a6-20260802-0220.log#ca93fe3de17e2daf11011de1ba3c7f0a7ef2fc66e4d065c2160cd2bbaad0786e
E77-B6,canonical,canonical-full-result,P2,large-co-located-direct-tail,1048576,65536,none,,346277,true,accepted-checkpoint,accepted,/private/tmp/model-e2e-e77-b6-20260802-0220.log#cf7fbcbac1167beaea64e854bbcdca4b4ca76b795ae0c01601ff7950844e5b4b
E77-A7,canonical,canonical-full-result,P2,large-co-located-direct-tail-control-disabled,1048576,65536,none,324252,,true,confirmation-control,diagnostic-only,/private/tmp/model-e2e-e77-a7-20260802-0220.log#067336c3133da4aea9628775df2b7b0dd282afd024f484287a71ae8f4a629d82
E77-B7,canonical,canonical-full-result,P2,large-co-located-direct-tail,1048576,65536,none,,333348,true,accepted-checkpoint,accepted,/private/tmp/model-e2e-e77-b7-20260802-0220.log#47c0b213e70bf05e5792694fad8ae3baeb01aa62a78a3c4e8ae1f0417cbb1f88
E77-B8,canonical,canonical-full-result,P2,large-co-located-direct-tail,1048576,65536,none,,341697,true,accepted-checkpoint,accepted,/private/tmp/model-e2e-e77-b8-20260802-0220.log#c450195321419f69e665abcc488740527579d2a9ac4cde4a07656d10c3fe31aa
E77-A8,canonical,canonical-full-result,P2,large-co-located-direct-tail-control-disabled,1048576,65536,none,328554,,true,confirmation-control,diagnostic-only,/private/tmp/model-e2e-e77-a8-20260802-0220.log#0da2b5ef4ada944fc3e3f233550ea8ce9af0128a4145c5d3e20c9317ff1ef0e7
E78-FINAL,canonical,canonical-full-result,P3,large-co-located-direct-tail-final-source,1048576,65536,none,,341117,true,accepted-checkpoint,accepted,/private/tmp/model-e2e-e78-final-source-canonical-20260802-0224.log#4f8b5ec817f0e07265092577a91d4ee3e51d99dc49cda5ecd4cf7a9605e0882a
E79-PROFILE,profile,canonical-full-result,P3,tracking-resolution-origin-marker,1048576,65536,jfr,,270677,false,diagnostic-c06-reclassified-as-consumer-backpressure,diagnostic-only,/private/tmp/model-e2e-e79-tracking-resolution-profile-20260802-0233.log#7b7189f96f2d60751656cf7dd95205c9da62863346b0c0d5a6d36116e8fbd768;/private/tmp/model-e2e-e79-tracking-resolution-profile-20260802-0233.jfr#39735991b3ab60385101e37fe4a6c85c256b3c35e84f560c98575625f4656c44;/private/tmp/model-e2e-e79-tracking-resolution-profile-20260802-0233-summary.txt#47eefd265968a18e3f80f2655eafcd91a4a5f1db84fda4e8fd8d557425b96d02
E80-SMOKE,smoke,canonical-full-result,P3,bounded-packed-model-pipeline-depth-2,131072,32768,client-jfr,,155816,false,diagnostic-correctness-pass-needs-runtime-overlap-proof,reverted,/private/tmp/model-e2e-e59-e80-pipeline-depth2-smoke.log#d8150634b3873d4ead3d215c535646e77b71287174dcc360c2eb1ed374e7f601;/private/tmp/model-e2e-e59-e80-pipeline-depth2-smoke-runtime.log#921b63c40f0f52862ded7b1d7f0522dfd9ac45c605a867ee36617d42a21fefb9;/private/tmp/model-e2e-e59-e80-pipeline-depth2-smoke-client.jfr#47d4f3c0bf9984e2966d3117c0fc33b91b889d8defb8347e8a0c86d66d0b8827
E81-SMOKE,smoke,canonical-full-result,P3,bounded-packed-model-pipeline-depth-2,131072,32768,dual-jfr,,136899,false,diagnostic-bounded-overlap-confirmed-active-2,reverted,/private/tmp/model-e2e-e59-e81-pipeline-depth2-jfr.log#96befe691ef0f19d8125784476f6b214bceaf497b8a1f2b19cbd8c9169650aa7;/private/tmp/model-e2e-e59-e81-pipeline-depth2-jfr-runtime.log#9ec8d90fcae756cf75a88da9bb7b3036b2907ce3985260172470a0ea54687cc1;/private/tmp/model-e2e-e59-e81-pipeline-depth2-jfr-client.jfr#617ecd2af6a9ccb6f3632a15d30a9718dd6e6e4309c16f5d687ea4cda895475e;/private/tmp/model-e2e-e59-e81-pipeline-depth2-jfr-runtime.jfr#36bc8a6994f63c42ff17e41564143f2210e3571d3f8b335ffe6c71a2db57a1f2
E82-SMOKE,smoke,canonical-full-result,P3,ordered-packed-model-control-depth-1,131072,32768,dual-jfr,139059,,false,diagnostic-control-proves-naive-pipeline-fragments-transactions,diagnostic-only,/private/tmp/model-e2e-e59-e82-pipeline-depth1-jfr-control.log#26efd2e629c94b885662b86a7c8b59252f89c8409cb179a33d5328ac66e953ce;/private/tmp/model-e2e-e59-e82-pipeline-depth1-jfr-control-runtime.log#b95ba3381acc430090d27730905fefa2faa62299c7c9fc65b0ead3ad4468e0e4;/private/tmp/model-e2e-e59-e82-pipeline-depth1-jfr-control-client.jfr#f7a0b5080ca15d35e4a801fa789c0406ff7b9522b4137a4e51d79844a533d080;/private/tmp/model-e2e-e59-e82-pipeline-depth1-jfr-control-runtime.jfr#e29852b11a0ee81093bc95b8c6a5d2ec7d5a02144ee9d936b54c575a5febfad7
E83-SMOKE,smoke,canonical-full-result,P3,arrival-gated-packed-model-pipeline-depth-2-min-4096,131072,32768,dual-jfr,139059,137234,false,reject-model-wall-neutral-and-e2e-negative,reverted,/private/tmp/model-e2e-e59-e83-arrival-gated-pipeline-jfr.log#42094aab2ba69eda7b67b2f7ac74885ecaf3b8d4f7cfef05dba2c8ffbededcf2;/private/tmp/model-e2e-e59-e83-arrival-gated-pipeline-jfr-runtime.log#6c672810c86a4d0a361a437dfdd619a5f0bada8c5f3e430a351fa0965eeca789;/private/tmp/model-e2e-e59-e83-arrival-gated-pipeline-jfr-client.jfr#41603dd3a4f11ed5131129a480ae22d43bf84880529eba98e7b0393e06de9602;/private/tmp/model-e2e-e59-e83-arrival-gated-pipeline-jfr-runtime.jfr#59a6c26f373b1cc9b88f8f760859485a84ae51fb2236b77095d68c45220e1435
