run_id,run_type,route,accepted_base,candidate,commit_count,warmup_count,model_count,max_in_flight,workers_or_sessions,payload_bytes,profiling,throughput,store_service_capacity,mean_store_batch,mean_store_ms,canonical_comparable,decision,code_status,evidence
E504,canonical,full-command-model-result,7ac06794,clean-default-16384,1048576,65536,65536,65536,16,32,none,343323,,,,true,clean-baab-candidate-first,diagnostic-only,/private/tmp/model-e2e-e504-full-model-default-16384-clean.log#0295b2d23e694976059ea05e42f62b220eaaecdfede24601a49cab1f473db592
E505,canonical,full-command-model-result,7ac06794,clean-property-control-65536,1048576,65536,65536,65536,16,32,none,355395,,,,true,clean-baab-control-first,diagnostic-only,/private/tmp/model-e2e-e505-full-model-control-65536-clean.log#65fdd781ff5bb9c6ac328e5cd29f9c6634859095b331f359069bf87e2c3d6d6c
E506,canonical,full-command-model-result,7ac06794,clean-property-control-65536,1048576,65536,65536,65536,16,32,none,343304,,,,true,clean-baab-control-second,diagnostic-only,/private/tmp/model-e2e-e506-full-model-control-65536-clean.log#d9e8d4f1971314405f8cb2ccfa4890c141f592599bf3898c2809c21ddc6dd266
E507,canonical,full-command-model-result,7ac06794,clean-default-16384,1048576,65536,65536,65536,16,32,none,354537,,,,true,reject-clean-baab-minus-0.12-percent,reverted,/private/tmp/model-e2e-e507-full-model-default-16384-clean.log#dda0ea3421eff57f9e09191d69b12bf11859fd74207df3d6891dce90b3fdf62c
E508,profile,full-command-model-result,7ac06794,internal-cpu-allocation-profile,1048576,65536,65536,65536,16,32,cpu-allocation-jfr,272061,,,,false,reject-request-trace-pollution,diagnostic-only,/private/tmp/model-e2e-e508-full-model-cpu-allocation-profile.log#47ee9e723ee1376851530081c7c46f3418e0916fbee98391698f06253f7e2da2
E509,profile,full-command-model-result,7ac06794,external-profile-first-window,1048576,65536,65536,65536,16,32,external-jfr,337564,,,,false,reject-recording-missed-measured-phase,diagnostic-only,/private/tmp/model-e2e-e509-full-model-external-profile.log#8e9ffa90a9fad5b72a84b1484c68cf2e716e1860d23df627ebed0b51f31ea02d
E510,profile,full-command-model-result,7ac06794,external-profile-custom-events-enabled,1048576,65536,65536,65536,16,32,external-jfr,266464,,,,false,reject-fluxzero-custom-event-overhead,diagnostic-only,/private/tmp/model-e2e-e510-full-model-external-profile.log#fe740e71450e5a5b08a15d2de2a7072c0aad6dba3c9e743a633bcf5ffa3beb0c
E511,profile,full-command-model-result,7ac06794,external-profile-no-fluxzero-trace,1048576,65536,65536,65536,16,32,external-jfr,335997,,,,true,accept-clean-cpu-allocation-diagnostic,diagnostic-only,/private/tmp/model-e2e-e511-full-model-external-profile-no-trace.log#34859a9395a4d92bd3da43320dc5b8b07f6275cf581a2f7b299de82f08546b4c
E512,canonical,full-command-model-result,7ac06794,postgres-statement-baseline,1048576,65536,65536,65536,16,32,none,339271,,,,true,identify-derived-locator-row-amplification,diagnostic-only,/private/tmp/model-e2e-e512-full-model-pg-statements.log#616959fc25055ebccbba5555ce04cd67399bc872e460fe8b7adce73c79949c6b
E513,canonical,full-command-model-result,7ac06794,skip-derived-locator-upper-bound,1048576,65536,65536,65536,16,32,none,375923,,,,true,causal-upper-bound-first,diagnostic-only,/private/tmp/model-e2e-e513-full-model-no-locator-upper-bound.log#051565d01da5a5e164e95df58070778150c8733c8977a908bcd06601eb89d7c6
E514,canonical,full-command-model-result,7ac06794,derived-locator-control,1048576,65536,65536,65536,16,32,none,346542,,,,true,matched-control-first,diagnostic-only,/private/tmp/model-e2e-e514-full-model-locator-control.log#a47cdb5aa3ad82ada81eef4c2c187545faa2639816e5f6a2e50f68fe1ab41283
E515,canonical,full-command-model-result,7ac06794,derived-locator-control,1048576,65536,65536,65536,16,32,none,349382,,,,true,matched-control-second,diagnostic-only,/private/tmp/model-e2e-e515-full-model-locator-control-2.log#b800d8cc70a260e02d37ba3cac8508f22162940cf7442afa326efb879dc9373d
E516,canonical,full-command-model-result,7ac06794,skip-derived-locator-upper-bound,1048576,65536,65536,65536,16,32,none,382196,,,,true,confirm-locator-headroom-plus-8.93-percent,diagnostic-only,/private/tmp/model-e2e-e516-full-model-no-locator-upper-bound-2.log#644fef72b7c9a934714c3d11e34b7628f2fa23a21b7354d6be2dc957881dc04b
E517,canonical,full-command-model-result,7ac06794,locator-collection-delay-25ms,1048576,65536,65536,65536,16,32,none,352499,,,,true,reject-timing-coalescing,diagnostic-only,/private/tmp/model-e2e-e517-full-model-locator-collect-25ms.log#5d400307d4c327154f7df3e0872b290fd8fa25dc01a17f330a19ae30b9dbdd24
E518,canonical,full-command-model-result,7ac06794,locator-collection-delay-50ms,1048576,65536,65536,65536,16,32,none,350182,,,,true,reject-timing-coalescing,diagnostic-only,/private/tmp/model-e2e-e518-full-model-locator-collect-50ms.log#78ad851ac59f7fa8eb46ded6bc3c7e3b716fbef0fa73f895d9157746a48933b7
E519,canonical,full-command-model-result,7ac06794,locator-collection-delay-100ms,1048576,65536,65536,65536,16,32,none,348226,,,,true,reject-timing-coalescing,diagnostic-only,/private/tmp/model-e2e-e519-full-model-locator-collect-100ms.log#394b7c19c0ddad1d939e4fa09a93c24b6a67f2ad9e4533b8431eee5dfc04b845
E520,canonical,full-command-model-result,7ac06794,per-hash-postgres-hash-index,1048576,65536,65536,65536,16,32,none,343017,,,,true,matched-hash-candidate-first,diagnostic-only,/private/tmp/model-e2e-e520-hash-locator.log#1e666110f64bc0652871c20ce4310c26b864af9b1cde41e6437bec270d6b658c
E521,canonical,full-command-model-result,7ac06794,per-hash-btree-control,1048576,65536,65536,65536,16,32,none,353063,,,,true,matched-btree-control-first,diagnostic-only,/private/tmp/model-e2e-e521-btree-control.log#652b2217a272213fec5e7884dce36d5abfc429a003aa90b8745af3592a412002
E522,canonical,full-command-model-result,7ac06794,per-hash-postgres-hash-index,1048576,65536,65536,65536,16,32,none,341222,,,,true,reject-hash-index-minus-1.22-percent,reverted,/private/tmp/model-e2e-e522-hash-locator.log#d1a0d132d055c8d47d20ec4a73b3034608e49b6c6d2d426c4f089acb690a9d42
E523,canonical,full-command-model-result,7ac06794,per-hash-btree-control,1048576,65536,65536,65536,16,32,none,339723,,,,true,matched-btree-control-second,diagnostic-only,/private/tmp/model-e2e-e523-btree-control.log#474df847a7f9d5468b1b5bc8dd98d9aa6576a3b89f3a1d7fd859df4f2ecec1b3
E524,canonical,full-command-model-result,7ac06794,per-hash-no-index-upper-bound,1048576,65536,65536,65536,16,32,none,359843,,,,true,confirm-index-and-row-amplification,diagnostic-only,/private/tmp/model-e2e-e524-locator-no-index.log#a30df0639f940eb93149471138ab82b4d29091a4300d38a4ba81ed5aed41fd7d
E525,canonical,full-command-model-result,7ac06794,compact-array-gin-locator,1048576,65536,65536,65536,16,32,none,354651,,,,true,matched-candidate-first,diagnostic-only,/private/tmp/model-e2e-e525-compact-locator.log#a669de4913eb04e5d0e655cea9a50c6fdea3b2a8f9f41731e0c92922adef9a52
E526,canonical,full-command-model-result,7ac06794,compact-array-gin-locator,1048576,65536,65536,65536,16,32,none,364430,,,,true,accept-matched-plus-5.28-percent,accepted,/private/tmp/model-e2e-e526-compact-locator.log#10ce90f5c49b45982619ce76c0c703efdaeed0b6f944e84b51b94a41289dbf1a
E527,canonical,full-command-model-result,7ac06794,per-hash-btree-control,1048576,65536,65536,65536,16,32,none,343236,,,,true,matched-control-for-compact-locator,diagnostic-only,/private/tmp/model-e2e-e527-btree-control.log#8fabdbf8715d1fb8606c2792b19e7cc4d29b1146302d4c76f4b137ac7b134d11
E528,smoke,full-command-model-result-plus-loads,7ac06794,compact-array-gin-locator,1048576,65536,65536,65536,16,32,none,369693,,,,false,write-valid-large-cold-read-hit-existing-event-join-spill,diagnostic-only,/private/tmp/model-e2e-e528-compact-locator-loads.log#3a65b26d5e20462f672869bcb7bcd2fa7df9cee9f7c1d09bfdfc7d2f82202bd4
E529,smoke,full-command-model-result-plus-loads,7ac06794,compact-array-gin-locator,131072,8192,8192,8192,16,32,none,115780,,,,false,accept-matched-small-read-validation,diagnostic-only,/private/tmp/model-e2e-e529-compact-locator-small-loads.log#627875b3c2acbb82c437ef3da5c2560d3237c0a3333c1c26445d6f21189c09be
E530,smoke,full-command-model-result-plus-loads,7ac06794,per-hash-btree-control,131072,8192,8192,8192,16,32,none,108328,,,,false,matched-small-read-control,diagnostic-only,/private/tmp/model-e2e-e530-btree-control-small-loads.log#5d082695e3c6dd7897435da1a6521d953648480fa3ed05f5348d39fcc2980045
E531,profile,full-command-model-result,7ac06794,compact-array-gin-locator,1048576,65536,65536,65536,16,32,batch-jfr,358453,431000,7281.8,16.891,true,accept-profile-and-new-store-baseline,accepted,/private/tmp/model-e2e-e531-compact-locator-profile.log#5a863492fc6f322accbec758d659f10fda264580f1783aeaca1cf318a6441946
