run_id,run_type,route,accepted_base,candidate,command_count,warmup_count,profiling,control_throughput,candidate_throughput,canonical_comparable,decision,code_status,evidence
F1-B0-M1-R,canonical,full-command-model-event-result,P5-0c23c91f+graph-fix-ef24c66a,B0-reverse-after-M1,4194304,262144,none,420559,423665,true,confirm-host-recovery-after-metrics,diagnostic-only,/private/tmp/model-feature-phase1-B0-after-M1-control.log#a3211b9ca7bef5e4bb1073dbccca8ab298f62bd588c479f746c4eaf612c1632e
F1-S1-1,canonical,full-command-searchable-model-event-result,P5-0c23c91f+graph-fix-ef24c66a,S1-searchable,4194304,262144,none,423665,,true,exclude-30698-command-failures-after-advisory-lock-capacity-exhaustion,diagnostic-only,/private/tmp/model-feature-phase1-S1-canonical-1.log#052e9addec03b601b12973dd25774991aaecde3b01a6c4e3e492dbd6f068f3aa
F1-R1-1,canonical,full-command-related-model-event-result,P5-0c23c91f+graph-fix-ef24c66a,R1-stable-parent,4194304,262144,none,419831,57316,true,characterize-minus-86.3-percent-with-exact-stable-relationships,accepted,/private/tmp/model-feature-phase1-R1-canonical-1.log#2ee5bca343d1ee8997f66fecae293626b893c98c7794a1a8fea4eec79ba095cd
F1-R2-1,canonical,full-command-related-model-event-result,P5-0c23c91f+graph-fix-ef24c66a,R2-one-percent-parent-moves,4194304,262144,none,419831,41079,true,characterize-minus-90.2-percent-with-41984-measured-moves,accepted,/private/tmp/model-feature-phase1-R2-canonical-1.log#7db2aa9543527fa6e2b7d0d719f2e59bb9f20343881135addfd065ad81193136
F1-B0-R-R,canonical,full-command-model-event-result,P5-0c23c91f+graph-fix-ef24c66a,B0-reverse-after-relationships,4194304,262144,none,423665,416031,true,confirm-host-remains-in-P5-band,diagnostic-only,/private/tmp/model-feature-phase1-B0-after-relationships-control.log#2818772781ef84aac2926e43ab92f39ddb45af64edc01dfd9f3c013c0f8c28c0
F1-G1-1,canonical,full-command-related-model-event-result-graph-async,P5-0c23c91f+graph-fix-ef24c66a,G1-bounded-root-seed-diagnostic,4194304,262144,none,,,false,exclude-44386-command-failures-same-advisory-lock-exhaustion,reverted,/private/tmp/model-feature-phase1-G1-canonical-1.log#d0de94593551800bbe82f478ad1600f4026d24dd4b247f2958eca5393dbb906c
F2-C0-S,smoke,full-command-model-event-result,P5-0c23c91f+graph-fix-ef24c66a,C0-cumulative-driver-9ca25780,257,129,none,,5326,false,correctness-qualified-throughput-noncanonical,accepted,/private/tmp/model-feature-phase2-C0-smoke.log#f0ec092a154e2c5255ba4539dea0368c5a815ef3e055f00bace0ddc8966672a8
F2-C1-S,smoke,full-command-model-event-result-standard-metrics,P5-0c23c91f+graph-fix-ef24c66a,C1-cumulative-driver-9ca25780,257,129,none,,3127,false,correctness-qualified-with-1204-durable-metrics,accepted,/private/tmp/model-feature-phase2-C1-smoke.log#e647837c8558ab903471150f63993bbbd0d6dbd209d3fafc715fa9587b0f64be
F2-C2-S,smoke,full-command-searchable-model-event-result-standard-metrics,P5-0c23c91f+graph-fix-ef24c66a,C2-cumulative-driver-9ca25780,257,129,none,,1861,false,correctness-qualified-with-exact-direct-documents,accepted,/private/tmp/model-feature-phase2-C2-smoke.log#b954e865b89be8c499016156b17497422156f583d0c501094ae113135a8111b5
F2-C3-S,smoke,full-command-searchable-related-model-event-result-standard-metrics,P5-0c23c91f+graph-fix-ef24c66a,C3-cumulative-driver-9ca25780,257,129,none,,2122,false,correctness-qualified-with-exact-documents-and-relationships,accepted,/private/tmp/model-feature-phase2-C3-smoke.log#18ba72957075f956651e4a0dc0270cd7c9eec593ff0acaa4165381836e53425f
F2-C4-S,smoke,full-command-searchable-related-model-event-result-graph-async-standard-metrics,P5-0c23c91f+graph-fix-ef24c66a,C4-cumulative-driver-9ca25780,257,129,none,,1849,false,correctness-qualified-with-exact-graph-catch-up,accepted,/private/tmp/model-feature-phase2-C4-smoke.log#bc6aa8d06248bc08677645992a31210725e6ad191aa04f0c999108bac8de8277
F2-C5-S,smoke,full-command-searchable-related-model-event-result-graph-await-standard-metrics,P5-0c23c91f+graph-fix-ef24c66a,C5-cumulative-driver-9ca25780,257,129,none,,82,false,correctness-qualified-current-await-cost-characterized,accepted,/private/tmp/model-feature-phase2-C5-smoke.log#53d47bbdbf53d91fef419335e9a1973051c58e5a52870e8005fc66e6f5e47bd2
